shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
05c78608463a,57.480102,-4.223186,1,
05c78608463a,57.279538,-3.828007,2,
05c78608463a,57.189054,-3.828334,3,
05c78608463a,57.077766,-4.052185,4,
05c78608463a,57.059129,-4.119103,5,
05c78608463a,56.935159,-4.246198,6,
05c78608463a,56.765529,-3.850218,7,
05c78608463a,56.702491,-3.735574,8,
05c78608463a,56.557042,-3.578399,9,
05c78608463a,56.392682,-3.440042,10,
05c78608463a,56.274837,-3.731159,11,
05c78608463a,56.185875,-3.965484,12,
05c78608463a,56.1198,-3.935617,13,
05c78608463a,56.00608,-3.8176,14,
05c78608463a,56.002602,-3.785041,15,
05c78608463a,55.984725,-3.714965,16,
05c78608463a,55.976439,-3.595841,17,
05c78608463a,55.945802,-3.218445,18,
05c78608463a,55.952387,-3.188222,19,
05c78608463a,55.945802,-3.218445,20,
05c78608463a,55.926682,-3.243453,21,
05c78608463a,55.691034,-3.668467,22,
05c78608463a,55.123051,-3.353538,23,
05c78608463a,54.890646,-2.93381,24,
05c78608463a,54.661812,-2.758035,25,
05c78608463a,54.305248,-2.722253,26,
05c78608463a,54.048558,-2.80791,27,
05c78608463a,53.756871,-2.708125,28,
05c78608463a,53.543451,-2.633131,29,
05c78608463a,53.385539,-2.60285,30,
05c78608463a,53.265985,-2.602666,31,
05c78608463a,53.190533,-2.494594,32,
05c78608463a,53.089643,-2.432977,33,
05c78608463a,52.803909,-2.122037,34,
05c78608463a,52.723516,-2.119295,35,
05c78608463a,52.587857,-2.119517,36,
05c78608463a,52.562745,-1.991104,37,
05c78608463a,52.505139,-1.871779,38,
05c78608463a,52.48483,-1.811034,39,
05c78608463a,52.450815,-1.725863,40,
05c78608463a,52.395896,-1.642845,41,
05c78608463a,52.400828,-1.513461,42,
05c78608463a,52.379108,-1.250478,43,
05c78608463a,52.0343,-0.774143,44,
05c78608463a,51.995345,-0.736316,45,
05c78608463a,51.800746,-0.622433,46,
05c78608463a,51.66353,-0.39652,47,
05c78608463a,51.59162,-0.334073,48,
05c78608463a,51.552331,-0.296419,49,
05c78608463a,51.532033,-0.243267,50,
05c78608463a,51.528376,-0.134558,51,
1101d5f678c0,52.91618,-1.463073,1,
1101d5f678c0,52.828737,-1.330592,2,
165d9964311e,51.528376,-0.134558,1,
165d9964311e,51.532033,-0.243267,2,
165d9964311e,51.552331,-0.296419,3,
165d9964311e,51.59162,-0.334073,4,
165d9964311e,51.66353,-0.39652,5,
165d9964311e,51.800746,-0.622433,6,
165d9964311e,51.995345,-0.736316,7,
165d9964311e,52.0343,-0.774143,8,
165d9964311e,52.379108,-1.250478,9,
165d9964311e,52.400828,-1.513461,10,
165d9964311e,52.395896,-1.642845,11,
165d9964311e,52.450815,-1.725863,12,
165d9964311e,52.48483,-1.811034,13,
165d9964311e,52.505139,-1.871779,14,
165d9964311e,52.562745,-1.991104,15,
165d9964311e,52.587857,-2.119517,16,
165d9964311e,52.723516,-2.119295,17,
165d9964311e,52.803909,-2.122037,18,
165d9964311e,53.089643,-2.432977,19,
165d9964311e,53.190533,-2.494594,20,
165d9964311e,53.265985,-2.602666,21,
165d9964311e,53.385539,-2.60285,22,
165d9964311e,53.543451,-2.633131,23,
165d9964311e,53.756871,-2.708125,24,
165d9964311e,54.048558,-2.80791,25,
165d9964311e,54.305248,-2.722253,26,
165d9964311e,54.661812,-2.758035,27,
165d9964311e,54.890646,-2.93381,28,
165d9964311e,55.123051,-3.353538,29,
165d9964311e,55.691034,-3.668467,30,
165d9964311e,55.926682,-3.243453,31,
165d9964311e,55.945802,-3.218445,32,
165d9964311e,55.952387,-3.188222,33,
165d9964311e,55.945802,-3.218445,34,
165d9964311e,55.976439,-3.595841,35,
165d9964311e,55.984725,-3.714965,36,
165d9964311e,56.00608,-3.8176,37,
165d9964311e,56.1198,-3.935617,38,
165d9964311e,56.185875,-3.965484,39,
165d9964311e,56.274837,-3.731159,40,
165d9964311e,56.392682,-3.440042,41,
165d9964311e,56.557042,-3.578399,42,
165d9964311e,56.702491,-3.735574,43,
165d9964311e,56.765529,-3.850218,44,
165d9964311e,56.935159,-4.246198,45,
165d9964311e,57.059129,-4.119103,46,
165d9964311e,57.077766,-4.052185,47,
165d9964311e,57.189054,-3.828334,48,
165d9964311e,57.279538,-3.828007,49,
165d9964311e,57.480102,-4.223186,50,
23b494c99ff2,51.612533,-3.407204,1,
23b494c99ff2,51.677645,-3.486731,2,
30ec92cd1907,50.121682,-5.532467,1,
30ec92cd1907,50.170478,-5.444318,2,
30ec92cd1907,50.210424,-5.297472,3,
30ec92cd1907,50.233241,-5.225975,4,
30ec92cd1907,50.26383,-5.064867,5,
30ec92cd1907,50.339507,-4.789406,6,
30ec92cd1907,50.355317,-4.70472,7,
30ec92cd1907,50.407497,-4.665464,8,
30ec92cd1907,50.445856,-4.662971,9,
30ec92cd1907,50.446848,-4.467499,10,
30ec92cd1907,50.394265,-4.308451,11,
30ec92cd1907,50.407348,-4.209157,12,
30ec92cd1907,50.377817,-4.143363,13,
30ec92cd1907,50.393579,-3.904458,14,
30ec92cd1907,50.435847,-3.688722,15,
30ec92cd1907,50.52957,-3.599193,16,
30ec92cd1907,50.548047,-3.494686,17,
30ec92cd1907,50.580806,-3.464648,18,
30ec92cd1907,50.599051,-3.444018,19,
30ec92cd1907,50.729152,-3.543661,20,
30ec92cd1907,50.917529,-3.359957,21,
30ec92cd1907,51.023656,-3.102133,22,
30ec92cd1907,51.099804,-2.522802,23,
30ec92cd1907,51.266979,-2.199194,24,
30ec92cd1907,51.379635,-1.598795,25,
30ec92cd1907,51.414906,-1.512294,26,
30ec92cd1907,51.397644,-1.322862,27,
30ec92cd1907,51.433447,-1.074967,28,
30ec92cd1907,51.455453,-0.990295,29,
30ec92cd1907,51.458782,-0.971854,30,
30ec92cd1907,51.47553,-0.863295,31,
30ec92cd1907,51.518666,-0.722659,32,
30ec92cd1907,51.511877,-0.591505,33,
30ec92cd1907,51.505962,-0.378613,34,
30ec92cd1907,51.514847,-0.301752,35,
30ec92cd1907,51.516451,-0.176845,36,
4ca39eaa3909,55.859741,-4.257636,1,
4ca39eaa3909,55.818771,-4.133045,2,
4ca39eaa3909,55.791666,-3.994312,3,
4ca39eaa3909,55.777482,-3.956991,4,
4ca39eaa3909,55.691034,-3.668467,5,
4ca39eaa3909,55.123051,-3.353538,6,
4ca39eaa3909,54.890646,-2.93381,7,
4ca39eaa3909,54.661812,-2.758035,8,
4ca39eaa3909,54.305248,-2.722253,9,
4ca39eaa3909,54.048558,-2.80791,10,
4ca39eaa3909,53.756871,-2.708125,11,
4ca39eaa3909,53.543451,-2.633131,12,
4ca39eaa3909,53.385539,-2.60285,13,
4ca39eaa3909,53.265985,-2.602666,14,
4ca39eaa3909,53.190533,-2.494594,15,
4ca39eaa3909,53.089643,-2.432977,16,
4ca39eaa3909,52.803909,-2.122037,17,
4ca39eaa3909,52.723516,-2.119295,18,
4ca39eaa3909,52.587857,-2.119517,19,
4ca39eaa3909,52.562745,-1.991104,20,
4ca39eaa3909,52.505139,-1.871779,21,
4ca39eaa3909,52.48483,-1.811034,22,
4ca39eaa3909,52.450815,-1.725863,23,
4ca39eaa3909,52.395896,-1.642845,24,
4ca39eaa3909,52.400828,-1.513461,25,
4ca39eaa3909,52.379108,-1.250478,26,
4ca39eaa3909,52.0343,-0.774143,27,
4ca39eaa3909,51.995345,-0.736316,28,
