agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
=AW,Transport for Wales,https://tfw.wales/,Europe/London,en,0333 321 1202,
=CC,c2c,https://www.c2c-online.co.uk/,Europe/London,en,0345 744 4422,
=CH,Chiltern Railways,https://www.chilternrailways.co.uk/,Europe/London,en,0345 600 5165,
=CS,Caledonian Sleeper,https://www.sleeper.scot/,Europe/London,en,0330 060 0500,
=EM,EMR,https://www.eastmidlandsrailway.co.uk/,Europe/London,en,0345 712 5678,
=GC,Grand Central,https://www.grandcentralrail.co.uk/,Europe/London,en,0345 603 4852,
=GN,Great Northern,https://www.greatnorthernrail.com/,Europe/London,en,0345 026 4700,
=GR,LNER,https://www.lner.co.uk/,Europe/London,en,0345 722 5333,
=GW,GWR,https://www.gwr.com/,Europe/London,en,0345 700 0125,
=GX,Gatwick Express,https://www.gatwickexpress.com/,Europe/London,en,0345 850 1530,
=HT,Hull Trains,https://www.hulltrains.co.uk/,Europe/London,en,0345 071 0222,
=HX,Heathrow Express,https://www.heathrowexpress.com/,Europe/London,en,0345 600 1515,
=IL,Island Line,https://www.southwesternrailway.com/,Europe/London,en,0345 600 0650,
=LD,Lumo (East Coast),https://www.lumo.co.uk/,Europe/London,en,0345 528 0409,
=LE,Greater Anglia,https://www.greateranglia.co.uk/,Europe/London,en,0345 600 7245,
=LF,Lumo (West Coast),https://www.lumo.co.uk/,Europe/London,en,0345 528 0409,
=LM,West Midlands Trains,https://www.wmtrains.co.uk/,Europe/London,en,0333 311 0039,
=LO,London Overground,https://tfl.gov.uk/modes/london-overground/,Europe/London,en,0343 222 1234,
=LS,Locomotive Services,https://lsltoc.co.uk/,Europe/London,en,01225 866205,
=LT,London Underground,https://tfl.gov.uk/modes/tube/,Europe/London,en,0343 222 1234,
=ME,Merseyrail,https://www.merseyrail.org/,Europe/London,en,0151 555 1111,
=NT,Northern Rail,https://www.northernrail.org/,Europe/London,en,0800 200 6060,
=QC,Caledonian MacBrayne,https://www.calmac.co.uk/,Europe/London,en,0800 066 5000,
=QS,Stena Line,https://www.stenaline.co.uk/,Europe/London,en,0344 770 7070,
=SE,Southeastern,https://www.southeasternrailway.co.uk/,Europe/London,en,0345 322 7021,
=SN,Southern,https://www.southernrailway.com/,Europe/London,en,0345 127 2920,
=SR,ScotRail,https://www.scotrail.co.uk/,Europe/London,en,0344 811 0141,
=SW,South Western Railway,https://www.southwesternrailway.com/,Europe/London,en,0345 600 0650,
=TL,Thameslink,https://www.thameslinkrailway.com/,Europe/London,en,0345 026 4700,
=TP,TransPennine Express,https://www.tpexpress.co.uk/,Europe/London,en,0345 600 1671,
=TW,Nexus (Tyne & Wear Metro),https://www.nexus.org.uk/metro,Europe/London,en,0191 20 20 747,
=VT,Avanti West Coast,https://www.avantiwestcoast.co.uk/,Europe/London,en,0345 528 0253,
=XC,CrossCountry,https://www.crosscountrytrains.co.uk/,Europe/London,en,0344 736 9123,
=XR,Elizabeth line,https://tfl.gov.uk/modes/elizabeth-line/,Europe/London,en,0343 222 1234,
=ZZ,Other operator,https://www.nationalrail.co.uk/,Europe/London,en,0345 748 4950,
