service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20210103,20261231
2,1,1,1,1,1,1,0,20210104,20261231
3,1,1,1,1,1,0,0,20250715,20991231
4,0,0,0,0,0,1,0,20260516,20261107
5,0,0,0,0,0,1,0,20260516,20261205
6,0,0,0,0,0,0,1,20260517,20260913
7,0,0,0,0,0,0,1,20260517,20261018
8,0,0,0,0,0,0,1,20260517,20261206
9,0,0,0,0,0,0,1,20260517,20261206
10,0,0,0,0,0,0,1,20260517,20261206
11,0,0,0,0,0,0,1,20260517,20261206
12,1,0,0,0,0,0,0,20260518,20261207
13,1,0,0,0,0,0,0,20260518,20261207
14,0,0,0,0,1,0,0,20260522,20261030
15,0,0,0,0,0,1,0,20260523,20260926
16,0,0,0,0,0,1,0,20260523,20261212
17,0,0,0,0,0,0,1,20260524,20260927
18,1,1,1,1,1,0,0,20260526,20260828
19,1,1,1,1,1,0,0,20260526,20260829
20,1,1,1,1,1,0,0,20260804,20260828
21,0,0,0,1,0,0,0,20260806,20260924
22,1,0,0,0,0,0,0,20260810,20260810
23,0,0,0,0,0,0,1,20260816,20260816
24,1,0,0,0,0,0,0,20260817,20260817
25,0,0,0,0,0,0,1,20260823,20260823
26,1,0,0,0,0,0,0,20260824,20260824
27,0,0,0,0,0,0,1,20260830,20260830
28,1,0,0,0,0,0,0,20260831,20260831
29,1,1,1,1,1,0,0,20260901,20260925
30,1,1,1,1,1,0,0,20260901,20261102
31,1,1,1,1,1,0,0,20260901,20261130
32,0,0,0,0,0,0,1,20260906,20260906
33,1,0,0,0,0,0,0,20260907,20260907
34,0,0,0,0,0,0,1,20260913,20260913
35,1,0,0,0,0,0,0,20260914,20260914
36,0,0,0,0,0,0,1,20260920,20260920
37,1,0,0,0,0,0,0,20260921,20260921
38,0,0,0,0,0,1,0,20261003,20261003
39,0,0,0,0,0,0,1,20261004,20261004
40,1,0,0,0,0,0,0,20261005,20261005
41,0,0,0,0,0,0,1,20261011,20261011
42,1,0,0,0,0,0,0,20261012,20261012
43,0,0,0,0,0,0,1,20261018,20261018
44,1,0,0,0,0,0,0,20261019,20261019
45,0,0,0,0,0,0,1,20261025,20261025
46,1,0,0,0,0,0,0,20261026,20261026
47,0,0,0,0,0,0,1,20261101,20261101
48,0,0,0,0,0,0,1,20261108,20261108
