from_stop_id,to_stop_id,mode,duration,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
AMR,CFO,TRANSFER,2040,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
AMR,CLW,TRANSFER,2280,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
AMR,EUS,TUBE,5160,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
AMR,PAD,TUBE,5160,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
AMR,RIC,TRANSFER,2460,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
CFO,AMR,TRANSFER,2040,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
CFO,EUS,TUBE,5100,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
CFO,PAD,TUBE,5100,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
CLW,AMR,TRANSFER,2280,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
CLW,EUS,TUBE,5040,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
CLW,PAD,TUBE,5040,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
EAL,EUS,TUBE,2700,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
EAL,PAD,TUBE,2400,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
EUS,AMR,TUBE,5160,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
EUS,CFO,TUBE,5100,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
EUS,CLW,TUBE,5040,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
EUS,EAL,TUBE,2700,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
EUS,HHY,TUBE,1260,05:29:00,06:59:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
EUS,HHY,TUBE,1260,06:30:00,06:59:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
EUS,HHY,TUBE,1260,07:00:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EUS,HHY,TUBE,960,07:00:00,19:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
EUS,HHY,TUBE,1260,19:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
EUS,PAD,TRANSFER,1380,00:01:00,05:29:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
EUS,PAD,TRANSFER,1380,00:01:00,06:29:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
EUS,PAD,TRANSFER,1380,00:01:00,06:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EUS,PAD,TUBE,1080,05:29:00,06:59:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
EUS,PAD,TUBE,1080,06:30:00,06:59:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
EUS,PAD,TUBE,1080,07:00:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
EUS,PAD,TUBE,780,07:00:00,19:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
EUS,PAD,TUBE,1080,19:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
EUS,RIC,TUBE,4980,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
FKG,FKK,WALK,1800,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
FKG,FKK,WALK,1800,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
FKK,FKG,WALK,1800,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
FKK,FKG,WALK,1800,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
GLC,GLQ,BUS,300,08:00:00,20:00:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
GLC,GLQ,BUS,300,09:00:00,20:00:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
GLC,GLQ,BUS,300,10:00:00,20:00:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
GLC,GLQ,WALK,300,00:01:00,07:59:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
GLC,GLQ,WALK,300,00:01:00,08:59:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
GLC,GLQ,WALK,300,00:01:00,09:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
GLC,GLQ,WALK,300,20:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
GLC,GLQ,WALK,300,20:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
GLQ,GLC,BUS,300,08:00:00,20:00:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
GLQ,GLC,BUS,300,09:00:00,20:00:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
GLQ,GLC,BUS,300,10:00:00,20:00:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
GLQ,GLC,WALK,300,00:01:00,07:59:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
GLQ,GLC,WALK,300,00:01:00,08:59:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
GLQ,GLC,WALK,300,00:01:00,09:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
GLQ,GLC,WALK,300,20:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
GLQ,GLC,WALK,300,20:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
HHY,EUS,TUBE,1260,05:29:00,06:59:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
HHY,EUS,TUBE,1260,06:30:00,06:59:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
HHY,EUS,TUBE,1260,07:00:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
HHY,EUS,TUBE,960,07:00:00,19:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
HHY,EUS,TUBE,1260,19:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
HRW,PAD,TUBE,2400,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
HWV,HXX,TRANSFER,1020,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
HWV,HXX,TRANSFER,1020,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
HXX,HWV,TRANSFER,1020,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
HXX,HWV,TRANSFER,1020,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
PAD,AMR,TUBE,5160,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
PAD,CFO,TUBE,5100,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
PAD,CLW,TUBE,5040,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
PAD,EAL,TUBE,2400,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
PAD,EUS,TRANSFER,1380,00:01:00,05:29:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
PAD,EUS,TRANSFER,1380,00:01:00,06:29:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
PAD,EUS,TRANSFER,1380,00:01:00,06:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
PAD,EUS,TUBE,1080,05:29:00,06:59:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
PAD,EUS,TUBE,1080,06:30:00,06:59:00,2017-01-01,2038-01-19,0,0,0,0,0,1,0
PAD,EUS,TUBE,1080,07:00:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
PAD,EUS,TUBE,780,07:00:00,19:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
PAD,EUS,TUBE,1080,19:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
PAD,HRW,TUBE,2400,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
PAD,RIC,TUBE,4980,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
RIC,AMR,TRANSFER,2460,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
RIC,EUS,TUBE,4980,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
RIC,PAD,TUBE,4980,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
SOU,STQ,TRANSFER,1800,00:01:00,07:00:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
SOU,STQ,TRANSFER,1800,00:01:00,07:45:00,2017-01-01,2038-01-19,0,0,0,0,0,1,1
SOU,STQ,TRANSFER,1800,18:15:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
STL,WEA,BUS,3000,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
STQ,SOU,TRANSFER,1800,00:01:00,07:00:00,2017-01-01,2038-01-19,1,1,1,1,1,0,0
STQ,SOU,TRANSFER,1800,00:01:00,07:45:00,2017-01-01,2038-01-19,0,0,0,0,0,1,1
