route_id,agency_id,route_short_name,route_long_name,route_type,route_text_color,route_color,route_url,route_desc
AW_RRB,=AW,TfW Rail,Transport for Wales,714,000000,ff0000,,
CS,=CS,,Caledonian Sleeper,2,FFFFFF,1d2e35,,
EM,=EM,EMR,East Midlands Railway,2,FFFFFF,713563,,
EM_BUS,=EM,EMR,East Midlands Railway,3,FFFFFF,713563,,
GRN,=TW,Green,,1,000000,32B457,,
GW,=GW,GWR,Great Western Railway,2,FFFFFF,0a493e,,
HX,=HX,,Heathrow Express,2,FFFFFF,532e63,,
MET,=LT,Metropolitan,,1,FFFFFF,870f54,https://tfl.gov.uk/tube/route/metropolitan/,
QC,=QC,,Caledonian MacBrayne,4,,,,
QR,=QR,,Red Funnel,4,,,,
QR_BUS,=QR,,Red Funnel,3,,,,
WIN,=LO,Windrush,,2,FFFFFF,DC241F,https://tfl.gov.uk/overground/route/windrush/,
