trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
C00049_20260517_20261206,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20260517_20261206,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20260517_20261206,23:36:00,23:36:00,9100PADTON10,3,,1,0,,1
C00049_20260816_20260816,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20260816_20260816,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20260816_20260816,23:38:00,23:38:00,9100PADTON10,3,,1,0,,1
C00049_20260823_20260823,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20260823_20260823,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20260823_20260823,23:36:00,23:36:00,9100PADTON6,3,,1,0,,1
C00049_20260830_20260830,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20260830_20260830,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20260830_20260830,23:36:00,23:36:00,9100PADTON5,3,,1,0,,1
C00049_20260913_20260913,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20260913_20260913,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20260913_20260913,23:36:00,23:36:00,9100PADTON6,3,,1,0,,1
C00049_20261004_20261004,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20261004_20261004,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20261004_20261004,23:36:00,23:36:00,9100PADTON6,3,,1,0,,1
C00049_20261011_20261011,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20261011_20261011,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20261011_20261011,23:35:00,23:35:00,9100PADTON7,3,,1,0,,1
C00049_20261018_20261018,23:12:00,23:12:00,9100HTRWTM53,1,,0,1,,1
C00049_20261018_20261018,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20261018_20261018,23:36:00,23:36:00,9100PADTON10,3,,1,0,,1
C00049_20261108_20261108,23:12:00,23:12:00,9100HTRWTM54,1,,0,1,,1
C00049_20261108_20261108,23:16:00,23:19:00,9100HTRWAPT2,2,,0,0,,1
C00049_20261108_20261108,23:36:00,23:36:00,9100PADTON5,3,,1,0,,1
C00070_20260523_20261212,23:50:00,23:50:00,9100HIGHBYE1,1,,0,1,,1
C00070_20260523_20261212,23:52:00,23:52:00,9100CNNBELL2,2,,0,0,,1
C00070_20260523_20261212,23:54:00,23:55:00,9100DALS4,3,,0,0,,1
C00070_20260523_20261212,23:57:00,23:57:00,9100HAGGERS2,4,,0,0,,1
C00070_20260523_20261212,23:59:00,23:59:00,9100HOXTON2,5,,0,0,,1
C00070_20260523_20261212,24:01:00,24:01:00,9100SHRDHST2,6,,0,0,,1
C00070_20260523_20261212,24:03:00,24:04:00,9100WCHAPEL6,7,,0,0,,1
C00070_20260523_20261212,24:06:00,24:06:00,9100SHADWEL2,8,,0,0,,1
C00070_20260523_20261212,24:08:00,24:08:00,9100WAPPING2,9,,0,0,,1
C00070_20260523_20261212,24:09:00,24:09:00,9100RTHERHI2,10,,0,0,,1
C00070_20260523_20261212,24:11:00,24:11:00,9100CNDAW3,11,,0,0,,1
C00070_20260523_20261212,24:13:00,24:13:00,9100SURREYQ2,12,,0,0,,1
C00070_20260523_20261212,24:20:00,24:20:00,9100NEWXGEL1,13,,1,0,,1
C00070_20261003_20261003,23:50:00,23:50:00,9100HIGHBYE1,1,,0,1,,1
C00070_20261003_20261003,23:52:00,23:52:00,9100CNNBELL2,2,,0,0,,1
C00070_20261003_20261003,23:54:00,23:55:00,9100DALS4,3,,0,0,,1
C00070_20261003_20261003,23:57:00,23:57:00,9100HAGGERS2,4,,0,0,,1
C00070_20261003_20261003,23:59:00,23:59:00,9100HOXTON2,5,,0,0,,1
C00070_20261003_20261003,24:01:00,24:01:00,9100SHRDHST2,6,,0,0,,1
C00070_20261003_20261003,24:03:00,24:04:00,9100WCHAPEL6,7,,0,0,,1
C00070_20261003_20261003,24:06:00,24:06:00,9100SHADWEL2,8,,0,0,,1
C00070_20261003_20261003,24:08:00,24:08:00,9100WAPPING2,9,,0,0,,1
C00070_20261003_20261003,24:09:00,24:09:00,9100RTHERHI2,10,,0,0,,1
C00070_20261003_20261003,24:13:00,24:13:00,9100SURREYQ2,11,,0,0,,1
C00070_20261003_20261003,24:20:00,24:20:00,9100NEWXGEL1,12,,1,0,,1
C00072_20260517_20261206,24:11:00,24:11:00,9100HIGHBYE2,1,,0,1,,1
C00072_20260517_20261206,24:13:00,24:13:00,9100CNNBELL2,2,,0,0,,1
C00072_20260517_20261206,24:15:00,24:16:00,9100DALS4,3,,0,0,,1
C00072_20260517_20261206,24:18:00,24:18:00,9100HAGGERS2,4,,0,0,,1
C00072_20260517_20261206,24:20:00,24:20:00,9100HOXTON2,5,,0,0,,1
C00072_20260517_20261206,24:22:00,24:22:00,9100SHRDHST2,6,,0,0,,1
C00072_20260517_20261206,24:24:00,24:25:00,9100WCHAPEL6,7,,0,0,,1
C00072_20260517_20261206,24:27:00,24:27:00,9100SHADWEL2,8,,0,0,,1
C00072_20260517_20261206,24:29:00,24:29:00,9100WAPPING2,9,,0,0,,1
C00072_20260517_20261206,24:30:00,24:30:00,9100RTHERHI2,10,,0,0,,1
C00072_20260517_20261206,24:32:00,24:32:00,9100CNDAW3,11,,0,0,,1
C00072_20260517_20261206,24:34:00,24:34:00,9100SURREYQ2,12,,0,0,,1
C00072_20260517_20261206,24:40:00,24:40:00,9100NEWXGEL1,13,,1,0,,1
C00072_20261004_20261004,24:11:00,24:11:00,9100HIGHBYE2,1,,0,1,,1
C00072_20261004_20261004,24:13:00,24:13:00,9100CNNBELL2,2,,0,0,,1
C00072_20261004_20261004,24:15:00,24:16:00,9100DALS4,3,,0,0,,1
C00072_20261004_20261004,24:18:00,24:18:00,9100HAGGERS2,4,,0,0,,1
C00072_20261004_20261004,24:20:00,24:20:00,9100HOXTON2,5,,0,0,,1
C00072_20261004_20261004,24:22:00,24:22:00,9100SHRDHST2,6,,0,0,,1
C00072_20261004_20261004,24:24:00,24:25:00,9100WCHAPEL6,7,,0,0,,1
C00072_20261004_20261004,24:27:00,24:27:00,9100SHADWEL2,8,,0,0,,1
C00072_20261004_20261004,24:29:00,24:29:00,9100WAPPING2,9,,0,0,,1
C00072_20261004_20261004,24:30:00,24:30:00,9100RTHERHI2,10,,0,0,,1
C00072_20261004_20261004,24:34:00,24:34:00,9100SURREYQ2,11,,0,0,,1
C00072_20261004_20261004,24:40:00,24:40:00,9100NEWXGEL1,12,,1,0,,1
C02271_20260517_20261206,06:27:00,06:27:00,9100DRBY,1,,0,1,,1
C02271_20260517_20261206,06:58:00,06:58:00,9100EMPKAIR,2,,1,0,,1
C02507_20260517_20260913,13:32:00,13:32:00,9100RDNGSTN13,1,,0,1,,1
C02507_20260517_20260913,13:46:00,13:48:00,9100SLOUGH3,2,,0,0,,1
C02507_20260517_20260913,14:07:00,14:07:00,9100PADTON11,3,,1,0,,1
C02507_20260906_20260906,13:39:00,13:39:00,9100RDNGSTN15,1,,0,1,,1
C02507_20260906_20260906,14:13:00,14:13:00,9100PADTON5,2,,1,0,,1
C02507_20260913_20260913,13:39:00,13:39:00,9100RDNGSTN15,1,,0,1,,1
C02507_20260913_20260913,14:13:00,14:13:00,9100PADTON5,2,,1,0,,1
C04543_20260518_20261207,28:28:00,28:28:00,9100EDINBUR2,1,,1,1,,1
C04543_20260518_20261207,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260518_20261207,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260518_20261207,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260518_20261207,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260518_20261207,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260518_20261207,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20260810_20260810,28:28:00,28:28:00,9100EDINBUR7,1,,1,1,,1
C04543_20260810_20260810,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260810_20260810,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260810_20260810,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260810_20260810,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260810_20260810,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260810_20260810,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20260817_20260817,28:28:00,28:28:00,9100EDINBUR2,1,,1,1,,1
C04543_20260817_20260817,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260817_20260817,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260817_20260817,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260817_20260817,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260817_20260817,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260817_20260817,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20260824_20260824,28:28:00,28:28:00,9100EDINBUR7,1,,1,1,,1
C04543_20260824_20260824,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260824_20260824,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260824_20260824,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260824_20260824,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260824_20260824,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260824_20260824,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20260831_20260831,28:28:00,28:28:00,9100EDINBUR2,1,,1,1,,1
C04543_20260831_20260831,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260831_20260831,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260831_20260831,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260831_20260831,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260831_20260831,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260831_20260831,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20260907_20260907,28:28:00,28:28:00,9100EDINBUR7,1,,1,1,,1
C04543_20260907_20260907,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260907_20260907,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260907_20260907,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260907_20260907,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260907_20260907,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260907_20260907,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20260914_20260914,28:28:00,28:28:00,9100EDINBUR2,1,,1,1,,1
C04543_20260914_20260914,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260914_20260914,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260914_20260914,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260914_20260914,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260914_20260914,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260914_20260914,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20260921_20260921,28:28:00,28:28:00,9100EDINBUR7,1,,1,1,,1
C04543_20260921_20260921,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20260921_20260921,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20260921_20260921,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20260921_20260921,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20260921_20260921,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20260921_20260921,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20261005_20261005,28:28:00,28:28:00,9100EDINBUR7,1,,1,1,,1
C04543_20261005_20261005,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20261005_20261005,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20261005_20261005,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20261005_20261005,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20261005_20261005,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20261005_20261005,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20261012_20261012,28:28:00,28:28:00,9100EDINBUR2,1,,1,1,,1
C04543_20261012_20261012,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20261012_20261012,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20261012_20261012,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20261012_20261012,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20261012_20261012,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20261012_20261012,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04543_20261019_20261019,28:28:00,28:28:00,9100EDINBUR7,1,,1,1,,1
C04543_20261019_20261019,30:11:00,30:11:00,9100DUNDETB4,2,,1,0,,1
C04543_20261019_20261019,30:26:00,30:26:00,9100CNST2,3,,1,0,,1
C04543_20261019_20261019,30:33:00,30:33:00,9100ARBROTH2,4,,1,0,,1
C04543_20261019_20261019,30:50:00,30:50:00,9100MONTRSE2,5,,1,0,,1
C04543_20261019_20261019,31:15:00,31:15:00,9100SHVN2,6,,1,0,,1
C04543_20261019_20261019,31:50:00,31:50:00,9100ABRDEEN6S,7,,1,0,,1
C04547_20260518_20261207,19:50:00,19:50:00,9100FRTWLM2,1,,0,1,,1
C04547_20260518_20261207,20:07:00,20:09:00,9100SPEANBD2,2,,0,0,,1
C04547_20260518_20261207,20:17:00,20:17:00,9100ROYBDGE1,3,,3,3,,1
C04547_20260518_20261207,20:28:00,20:29:00,9100TULLOCH1,4,,0,0,,1
C04547_20260518_20261207,20:51:00,20:52:00,9100CORROUR1,5,,0,0,,1
C04547_20260518_20261207,21:06:00,21:08:00,9100RANNOCH2,6,,0,0,,1
C04547_20260518_20261207,21:35:00,21:36:00,9100BOORCHY1,7,,0,0,,1
C04547_20260518_20261207,21:52:00,21:54:00,9100TYNDRMU1,8,,0,0,,1
C04547_20260518_20261207,22:07:00,22:08:00,9100CRNLRCH1,9,,0,0,,1
C04547_20260518_20261207,22:28:00,22:28:00,9100ARDLUI1,10,,3,3,,1
C04547_20260518_20261207,22:44:00,22:44:00,9100ARCHRAT1,11,,0,0,,1
C04547_20260518_20261207,23:10:00,23:10:00,9100GRLCHHD1,12,,0,0,,1
C04547_20260518_20261207,23:23:00,23:23:00,9100HLNSBRU1,13,,0,0,,1
C04547_20260518_20261207,23:38:00,23:38:00,9100DMBRTNC1,14,,0,0,,1
C04547_20260518_20261207,23:50:00,23:51:00,9100DALMUIR2,15,,0,0,,1
C04547_20260518_20261207,25:08:00,25:08:00,9100EDINBUR2,16,,1,0,,1
C04547_20260810_20260810,19:50:00,19:50:00,9100FRTWLM2,1,,0,1,,1
C04547_20260810_20260810,20:07:00,20:09:00,9100SPEANBD2,2,,0,0,,1
C04547_20260810_20260810,20:17:00,20:17:00,9100ROYBDGE1,3,,3,3,,1
C04547_20260810_20260810,20:28:00,20:29:00,9100TULLOCH1,4,,0,0,,1
C04547_20260810_20260810,20:51:00,20:52:00,9100CORROUR1,5,,0,0,,1
C04547_20260810_20260810,21:06:00,21:08:00,9100RANNOCH2,6,,0,0,,1
C04547_20260810_20260810,21:35:00,21:36:00,9100BOORCHY1,7,,0,0,,1
C04547_20260810_20260810,21:52:00,21:54:00,9100TYNDRMU1,8,,0,0,,1
C04547_20260810_20260810,22:07:00,22:08:00,9100CRNLRCH1,9,,0,0,,1
C04547_20260810_20260810,22:28:00,22:28:00,9100ARDLUI1,10,,3,3,,1
C04547_20260810_20260810,22:44:00,22:44:00,9100ARCHRAT1,11,,0,0,,1
C04547_20260810_20260810,23:10:00,23:10:00,9100GRLCHHD1,12,,0,0,,1
C04547_20260810_20260810,23:23:00,23:23:00,9100HLNSBRU1,13,,0,0,,1
C04547_20260810_20260810,23:38:00,23:38:00,9100DMBRTNC1,14,,0,0,,1
C04547_20260810_20260810,23:50:00,23:51:00,9100DALMUIR2,15,,0,0,,1
C04547_20260810_20260810,25:08:00,25:08:00,9100EDINBUR7,16,,1,0,,1
C04547_20260817_20260817,19:50:00,19:50:00,9100FRTWLM2,1,,0,1,,1
C04547_20260817_20260817,20:07:00,20:09:00,9100SPEANBD2,2,,0,0,,1
C04547_20260817_20260817,20:17:00,20:17:00,9100ROYBDGE1,3,,3,3,,1
C04547_20260817_20260817,20:28:00,20:29:00,9100TULLOCH1,4,,0,0,,1
C04547_20260817_20260817,20:51:00,20:52:00,9100CORROUR1,5,,0,0,,1
C04547_20260817_20260817,21:06:00,21:08:00,9100RANNOCH2,6,,0,0,,1
C04547_20260817_20260817,21:35:00,21:36:00,9100BOORCHY1,7,,0,0,,1
C04547_20260817_20260817,21:52:00,21:54:00,9100TYNDRMU1,8,,0,0,,1
C04547_20260817_20260817,22:07:00,22:08:00,9100CRNLRCH1,9,,0,0,,1
C04547_20260817_20260817,22:28:00,22:28:00,9100ARDLUI1,10,,3,3,,1
C04547_20260817_20260817,22:44:00,22:44:00,9100ARCHRAT1,11,,0,0,,1
C04547_20260817_20260817,23:10:00,23:10:00,9100GRLCHHD1,12,,0,0,,1
C04547_20260817_20260817,23:23:00,23:23:00,9100HLNSBRU1,13,,0,0,,1
C04547_20260817_20260817,23:38:00,23:38:00,9100DMBRTNC1,14,,0,0,,1
C04547_20260817_20260817,23:50:00,23:51:00,9100DALMUIR2,15,,0,0,,1
C04547_20260817_20260817,25:08:00,25:08:00,9100EDINBUR2,16,,1,0,,1
C04547_20260824_20260824,19:50:00,19:50:00,9100FRTWLM2,1,,0,1,,1
C04547_20260824_20260824,20:07:00,20:09:00,9100SPEANBD2,2,,0,0,,1
C04547_20260824_20260824,20:17:00,20:17:00,9100ROYBDGE1,3,,3,3,,1
C04547_20260824_20260824,20:28:00,20:29:00,9100TULLOCH1,4,,0,0,,1
C04547_20260824_20260824,20:51:00,20:52:00,9100CORROUR1,5,,0,0,,1
C04547_20260824_20260824,21:06:00,21:08:00,9100RANNOCH2,6,,0,0,,1
C04547_20260824_20260824,21:35:00,21:36:00,9100BOORCHY1,7,,0,0,,1
C04547_20260824_20260824,21:52:00,21:54:00,9100TYNDRMU1,8,,0,0,,1
C04547_20260824_20260824,22:07:00,22:08:00,9100CRNLRCH1,9,,0,0,,1
C04547_20260824_20260824,22:28:00,22:28:00,9100ARDLUI1,10,,3,3,,1
C04547_20260824_20260824,22:44:00,22:44:00,9100ARCHRAT1,11,,0,0,,1
