from_stop_id,to_stop_id,transfer_type,min_transfer_time,mode,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
910GABRDEEN,910GABRDEEN,2,300,,,,,,,,,,,,
910GACBG,910GACBG,2,300,,,,,,,,,,,,
910GACTONW,910GACTONW,2,60,,,,,,,,,,,,
910GACTONW,910GEUSTON,2,2700,TUBE,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GACTONW,910GPADTON,2,2400,TUBE,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GAIRDRIE,910GAIRDRIE,2,300,,,,,,,,,,,,
910GAIRP,910GAIRP,2,300,,,,,,,,,,,,
910GAMERSHM,910GAMERSHM,2,60,,,,,,,,,,,,
910GAMERSHM,910GCHLFNAL,2,2040,TRANSFER,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GAMERSHM,910GCHRW,2,2280,TRANSFER,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GAMERSHM,910GEUSTON,2,5160,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GAMERSHM,910GPADTON,2,5160,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GAMERSHM,910GRCKMNSW,2,2460,TRANSFER,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GAMNGTNJ,910GAMNGTNJ,2,300,,,,,,,,,,,,
910GANSL,910GANSL,2,300,,,,,,,,,,,,
910GARBROTH,910GARBROTH,2,300,,,,,,,,,,,,
910GARCHRAT,910GARCHRAT,2,300,,,,,,,,,,,,
910GARDLUI,910GARDLUI,2,300,,,,,,,,,,,,
910GASTON,910GASTON,2,300,,,,,,,,,,,,
910GAVIEMRE,910GAVIEMRE,2,300,,,,,,,,,,,,
910GBATHSPA,910GBATHSPA,2,420,,,,,,,,,,,,
910GBEDYN,910GBEDYN,2,300,,,,,,,,,,,,
910GBHAMINT,910GBHAMINT,2,300,,,,,,,,,,,,
910GBISLND,910GBISLND,2,300,,,,,,,,,,,,
910GBKSWELL,910GBKSWELL,2,300,,,,,,,,,,,,
910GBLARATH,910GBLARATH,2,300,,,,,,,,,,,,
