route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
14,10,C00049_20260517_20261206,London Paddington,HX020200,0,0,0
14,23,C00049_20260816_20260816,London Paddington,HX020200,0,0,0
14,25,C00049_20260823_20260823,London Paddington,HX020200,0,0,0
14,27,C00049_20260830_20260830,London Paddington,HX020200,0,0,0
14,34,C00049_20260913_20260913,London Paddington,HX020200,0,0,0
14,39,C00049_20261004_20261004,London Paddington,HX020200,0,0,0
14,41,C00049_20261011_20261011,London Paddington,HX020200,0,0,0
14,43,C00049_20261018_20261018,London Paddington,HX020200,0,0,0
14,48,C00049_20261108_20261108,London Paddington,HX020200,0,0,0
15,16,C00070_20260523_20261212,New Cross Gate,LO457200,0,0,0
15,38,C00070_20261003_20261003,New Cross Gate,LO457200,0,0,0
15,5,C00072_20260517_20261206,New Cross Gate,LO048300,0,0,0
15,38,C00072_20261004_20261004,New Cross Gate,LO048300,0,0,0
10,8,C02271_20260517_20261206,East Mids Airport via DBY,EM700000,0,0,0
13,6,C02507_20260517_20260913,London Paddington,GW481800,0,0,0
13,32,C02507_20260906_20260906,London Paddington,GW481800,0,0,0
13,34,C02507_20260913_20260913,London Paddington,GW481800,0,0,0
7,12,C04547_C04566_20260518_20261207,London Euston,CS000204,0,0,0
7,22,C04547_C04566_20260810_20260810,London Euston,CS000204,0,0,0
7,24,C04547_C04566_20260817_20260817,London Euston,CS000204,0,0,0
7,26,C04547_C04566_20260824_20260824,London Euston,CS000204,0,0,0
7,28,C04547_C04566_20260831_20260831,London Euston,CS000204,0,0,0
7,33,C04547_C04566_20260907_20260907,London Euston,CS000204,0,0,0
7,35,C04547_C04566_20260914_20260914,London Euston,CS000204,0,0,0
7,37,C04547_C04566_20260921_20260921,London Euston,CS000204,0,0,0
7,40,C04547_C04566_20261005_20261005,London Euston,CS000204,0,0,0
7,42,C04547_C04566_20261012_20261012,London Euston,CS000204,0,0,0
7,44,C04547_C04566_20261019_20261019,London Euston,CS000204,0,0,0
2,12,C04551_C04566_20260518_20261207,London Euston,CS000202,0,0,0
2,22,C04551_C04566_20260810_20260810,London Euston,CS000202,0,0,0
2,24,C04551_C04566_20260817_20260817,London Euston,CS000202,0,0,0
2,26,C04551_C04566_20260824_20260824,London Euston,CS000202,0,0,0
2,28,C04551_C04566_20260831_20260831,London Euston,CS000202,0,0,0
2,33,C04551_C04566_20260907_20260907,London Euston,CS000202,0,0,0
2,35,C04551_C04566_20260914_20260914,London Euston,CS000202,0,0,0
2,37,C04551_C04566_20260921_20260921,London Euston,CS000202,0,0,0
2,40,C04551_C04566_20261005_20261005,London Euston,CS000202,0,0,0
2,42,C04551_C04566_20261012_20261012,London Euston,CS000202,0,0,0
2,44,C04551_C04566_20261019_20261019,London Euston,CS000202,0,0,0
3,13,C04558_C04561_20260518_20261207,London Euston,CS000402,0,0,0
3,22,C04558_C04561_20260810_20260810,London Euston,CS000402,0,0,0
3,24,C04558_C04561_20260817_20260817,London Euston,CS000402,0,0,0
3,26,C04558_C04561_20260824_20260824,London Euston,CS000402,0,0,0
3,28,C04558_C04561_20260831_20260831,London Euston,CS000402,0,0,0
3,33,C04558_C04561_20260907_20260907,London Euston,CS000402,0,0,0
3,35,C04558_C04561_20260914_20260914,London Euston,CS000402,0,0,0
3,37,C04558_C04561_20260921_20260921,London Euston,CS000402,0,0,0
3,40,C04558_C04561_20261005_20261005,London Euston,CS000402,0,0,0
3,42,C04558_C04561_20261012_20261012,London Euston,CS000402,0,0,0
3,44,C04558_C04561_20261019_20261019,London Euston,CS000402,0,0,0
3,46,C04558_C04561_20261026_20261026,London Euston,CS000402,0,0,0
8,13,C04561_20260518_20261207,London Euston,CS000401,0,0,0
8,22,C04561_20260810_20260810,London Euston,CS000401,0,0,0
8,24,C04561_20260817_20260817,London Euston,CS000401,0,0,0
8,26,C04561_20260824_20260824,London Euston,CS000401,0,0,0
8,28,C04561_20260831_20260831,London Euston,CS000401,0,0,0
8,33,C04561_20260907_20260907,London Euston,CS000401,0,0,0
8,35,C04561_20260914_20260914,London Euston,CS000401,0,0,0
8,37,C04561_20260921_20260921,London Euston,CS000401,0,0,0
8,40,C04561_20261005_20261005,London Euston,CS000401,0,0,0
8,42,C04561_20261012_20261012,London Euston,CS000401,0,0,0
8,44,C04561_20261019_20261019,London Euston,CS000401,0,0,0
8,46,C04561_20261026_20261026,London Euston,CS000401,0,0,0
9,12,C04566_20260518_20261207,London Euston,CS000201,0,0,0
9,22,C04566_20260810_20260810,London Euston,CS000201,0,0,0
9,24,C04566_20260817_20260817,London Euston,CS000201,0,0,0
9,26,C04566_20260824_20260824,London Euston,CS000201,0,0,0
9,28,C04566_20260831_20260831,London Euston,CS000201,0,0,0
9,33,C04566_20260907_20260907,London Euston,CS000201,0,0,0
9,35,C04566_20260914_20260914,London Euston,CS000201,0,0,0
9,37,C04566_20260921_20260921,London Euston,CS000201,0,0,0
9,40,C04566_20261005_20261005,London Euston,CS000201,0,0,0
9,42,C04566_20261012_20261012,London Euston,CS000201,0,0,0
9,44,C04566_20261019_20261019,London Euston,CS000201,0,0,0
6,12,C04569_20260518_20261207,Inverness,CS000107,0,0,0
6,22,C04569_20260810_20260810,Inverness,CS000107,0,0,0
6,24,C04569_20260817_20260817,Inverness,CS000107,0,0,0
6,26,C04569_20260824_20260824,Inverness,CS000107,0,0,0
6,28,C04569_20260831_20260831,Inverness,CS000107,0,0,0
6,33,C04569_20260907_20260907,Inverness,CS000107,0,0,0
6,35,C04569_20260914_20260914,Inverness,CS000107,0,0,0
6,37,C04569_20260921_20260921,Inverness,CS000107,0,0,0
6,40,C04569_20261005_20261005,Inverness,CS000107,0,0,0
6,42,C04569_20261012_20261012,Inverness,CS000107,0,0,0
6,44,C04569_20261019_20261019,Inverness,CS000107,0,0,0
4,12,C04569_C04543_20260518_20261207,Aberdeen,CS000102,0,0,0
4,22,C04569_C04543_20260810_20260810,Aberdeen,CS000102,0,0,0
4,24,C04569_C04543_20260817_20260817,Aberdeen,CS000102,0,0,0
4,26,C04569_C04543_20260824_20260824,Aberdeen,CS000102,0,0,0
4,28,C04569_C04543_20260831_20260831,Aberdeen,CS000102,0,0,0
4,33,C04569_C04543_20260907_20260907,Aberdeen,CS000102,0,0,0
4,35,C04569_C04543_20260914_20260914,Aberdeen,CS000102,0,0,0
4,37,C04569_C04543_20260921_20260921,Aberdeen,CS000102,0,0,0
4,40,C04569_C04543_20261005_20261005,Aberdeen,CS000102,0,0,0
4,42,C04569_C04543_20261012_20261012,Aberdeen,CS000102,0,0,0
4,44,C04569_C04543_20261019_20261019,Aberdeen,CS000102,0,0,0
5,12,C04569_C04577_20260518_20261207,Fort William,CS000104,0,0,0
5,22,C04569_C04577_20260810_20260810,Fort William,CS000104,0,0,0
5,24,C04569_C04577_20260817_20260817,Fort William,CS000104,0,0,0
5,26,C04569_C04577_20260824_20260824,Fort William,CS000104,0,0,0
5,28,C04569_C04577_20260831_20260831,Fort William,CS000104,0,0,0
5,33,C04569_C04577_20260907_20260907,Fort William,CS000104,0,0,0
5,35,C04569_C04577_20260914_20260914,Fort William,CS000104,0,0,0
5,37,C04569_C04577_20260921_20260921,Fort William,CS000104,0,0,0
5,40,C04569_C04577_20261005_20261005,Fort William,CS000104,0,0,0
5,42,C04569_C04577_20261012_20261012,Fort William,CS000104,0,0,0
5,44,C04569_C04577_20261019_20261019,Fort William,CS000104,0,0,0
17,7,C04856_20260517_20261018,Largs,QC000100,0,0,0
18,11,C55452_20260517_20261206,Sunderland,TW000000,0,0,0
12,9,W34546_20260517_20261206,London Paddington,GW127600,0,0,0
12,27,W34546_20260830_20260830,London Paddington,GW127600,0,0,0
12,34,W34546_20260913_20260913,London Paddington,GW127600,0,0,0
12,36,W34546_20260920_20260920,London Paddington,GW127600,0,0,0
12,39,W34546_20261004_20261004,London Paddington,GW127600,0,0,0
12,45,W34546_20261025_20261025,London Paddington,GW127600,0,0,0
12,47,W34546_20261101_20261101,London Paddington,GW127600,0,0,0
20,19,Z01401_20260526_20260829,SOTON TOWN QUAY,,0,0,0
20,30,Z01401_20260901_20261102,SOTON TOWN QUAY,,0,0,0
19,20,Z01501_20260804_20260828,SOTON TOWN QUAY,,0,0,0
19,31,Z01501_20260901_20261130,SOTON TOWN QUAY,,0,0,0
11,4,Z08021_20260516_20261107,WIRKSWORTH,,0,0,0
11,14,Z08021_20260522_20261030,WIRKSWORTH,,0,0,0
11,21,Z08021_20260806_20260924,WIRKSWORTH,,0,0,0
16,15,Z08101_20260523_20260926,Amersham,,0,0,0
16,17,Z08101_20260524_20260927,Amersham,,0,0,0
16,18,Z08101_20260526_20260828,Amersham,,0,0,0
16,29,Z08101_20260901_20260925,Amersham,,0,0,0
1,3,Z81574_20250715_20991231,MAERDY BUS,,0,0,0
