shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
eb8deee4c49bd1f4964574c0e0d17f4a,51.67421,-0.60759,0,0.00000
eb8deee4c49bd1f4964574c0e0d17f4a,51.673,-0.604,1,0.45482
eb8deee4c49bd1f4964574c0e0d17f4a,51.6718,-0.6005,2,0.90000
eb8deee4c49bd1f4964574c0e0d17f4a,51.6694,-0.597,3,1.50000
eb8deee4c49bd1f4964574c0e0d17f4a,51.6672,-0.5938,4,2.20000
214b698494e159c1382bd8557aa3e19f,51.67421,-0.60759,0,0.00000
214b698494e159c1382bd8557aa3e19f,51.673,-0.604,1,0.45482
214b698494e159c1382bd8557aa3e19f,51.6718,-0.6005,2,0.90000
214b698494e159c1382bd8557aa3e19f,51.6694,-0.597,3,1.50000
214b698494e159c1382bd8557aa3e19f,51.6672,-0.5938,4,2.20000
