trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1,07:30:00,07:30:00,0100BRP90310,0,,0,1,0,1
1,07:34:00,07:34:00,0100BRP90311,1,,0,0,0.9,0
1,07:37:00,07:37:00,0100BRP90312,2,,0,0,1.5,1
1,07:42:00,07:42:00,0100BRP90313,3,,1,0,2.2,1
2,08:30:00,08:30:00,0100BRP90310,0,,0,1,0,1
2,08:37:00,08:37:00,0100BRP90311,1,,0,0,0.9,0
2,08:40:00,08:40:00,0100BRP90312,2,,0,0,1.5,1
2,08:45:00,08:45:00,0100BRP90313,3,,1,0,2.2,1
3,09:30:00,09:30:00,0100BRP90310,0,,0,1,0,1
3,09:34:00,09:34:00,0100BRP90311,1,,0,0,0.9,0
3,09:37:00,09:37:00,0100BRP90312,2,,0,0,1.5,1
3,09:42:00,09:42:00,0100BRP90313,3,,1,0,2.2,1
