table	rows	sha256
additional_fixed_link	12693	acf4a2b0c212021ebd92bea027e45e8b1cd5ba32f79f3c2fc7da6764ba6077ac
alias	298	2c81c1c6aa9356bd772b1c791c80e4a5ca9e07fcadcf2d73f831794f19bb6d47
association	5327	d2d145328214a115bba82d3b3e95908dd033b61c639b1f3900c45f6e40549cbf
fixed_link	1224	4a3fafd6ce0ea904f9aeb9cbf57685eadefa60bad15723b28801e2c03ffff2fd
log	4	7024970050a098b4cff3420cd5b45393e920c2da5e5f28668693b0d4d10c042d
physical_station	3298	bd72d5b64206593d3e3dd6141c31af0d6bbd5e29f61543e43dfff6c519d6b8bc
schedule	424684	2f87fab4ec395c95656ffb02253d7ea1deaa24758e02404619eb44800418cae7
schedule_extra	378115	cefd9d0afdfa8a428e053b115cae5be11c7664a01bf9f5e85ab7295574c1b1a5
service_change	87628	feec23077a27469365f3e9ce29160027faf0c919ada57886fe5a667a24ee00bf
stop_time	6961761	a8d20a45a62aa0eca1eb2866879f5ec41115bea104601f03528050cbbd22b30a
tiploc	12047	e01035da301df3e172c78f2590c7b6cab699b339c824f54861676c932746c2a5
toc_interchange	35	ed5afe974ff4606d3edd40b556730ea22fa64547deb8c0e45c86404fc5a930f7
z_schedule	5383	bfd3e91d52ab5c30a3a2a27141422cc81664014635baa4f67538564d689ca14e
z_schedule_extra	16149	9f083201b073d211a621385451dc80438b0105c0ec501a53e9be42cb81794e8e
z_stop_time	20931	d01139b2dcdd7fe2e4d26f4d44713d169c4aa24b50915d10552f3793bc80d762
