table	rows	sha256
additional_fixed_link	12693	acf4a2b0c212021ebd92bea027e45e8b1cd5ba32f79f3c2fc7da6764ba6077ac
advance_ticket	1626	280740bc9ec9f7e6d4e87e8fecf118d6d85513cc3e6dc2b9457b5f09a24cb1d4
alias	298	2c81c1c6aa9356bd772b1c791c80e4a5ca9e07fcadcf2d73f831794f19bb6d47
association	5327	d2d145328214a115bba82d3b3e95908dd033b61c639b1f3900c45f6e40549cbf
easement	2526	5490d13e853379cee36766263fef6250b9e34a15bc010c2c8164926252241c4d
easement_detail	1690	79621bba9d473813bde97de5b6598c1df8d61236eaa8239b3c7eb3a0c673afb4
easement_exception	0	79463f38b09439dd8c28e28be19a5bfc39bcd265ecefc6c36047848674d3bfb0
easement_location	17331	49e2c34a87b7bbca2535b691178cfc3352847c210069a9bbe33497ffcf336f2a
easement_text	956	7c6d147b4488ce064d28fbb68395242b936b8690e2240ee03387f720f2990f12
easement_toc	1000	3876f58aabffec32563f5a761e5c864ac70cf057b1760a25490360dd0b24df90
fare	7334718	2c2ff5261ed9e853d0bbb27908e3a73bf0b256fd70398b991607194903953e3f
fixed_link	1224	4a3fafd6ce0ea904f9aeb9cbf57685eadefa60bad15723b28801e2c03ffff2fd
flow	696661	9f7ec4c0278aa36bff7388d215331564232f25db9a49deaecd5ea244ad8939c4
link	18460	5e7b5d866730897b490f68219f6cccadf00d3d2f01f4dd1839323ff9d0d289ad
location	4965	2eb1176ee598108e847d40ccced5171fd04ad3030802c21e6691dbf725ae3458
location_association	0	79463f38b09439dd8c28e28be19a5bfc39bcd265ecefc6c36047848674d3bfb0
location_group	816	e92541a7995b762dcec611599ba8fdcb9ac673093cd4efae61cc1dccd87b6ee1
location_group_member	1384	9f3d811a396dd85e695612ec9718c49e35bee97c9ac3f40b3b02db43bc46ba90
location_railcard	171658	21cf682de8330bd58ec2da510caefd0372dafbc333ecb850fd8c0dc876e223db
location_synonym	37	becb0f3b94fc0ca43f8eabfcb134443dbc1c759ceda5ddb1a955637a91fe3848
log	9	f974b3b28b3e268ef3828ce22453c6690a7dc29b4c25585b68a5e2cbc2dc51d4
london_route	916	4f4fc63f1271d1afb9de0e560d9d2bdd514eb732fa7b538f4ef5d9eccfeade28
london_station	65	f087189c7214f99c9f90d6f79230367da2b30fe52b29c8b6b4de4056c0192c87
map	351	64ffda355a6a5c4b80706e05cc3984825d9db81b3e159025f0a96d3f11b1be7b
new_station	158	e07eeea610347169af7c7e5490a1d8302f26b470451e8bccc32c8f5b350c3c8f
nfm64	10148371	92e01fbae83a77c7bb8a2281c7d0992972a875bc6668a01a807f486cfacbb79f
non_derivable_fare	0	79463f38b09439dd8c28e28be19a5bfc39bcd265ecefc6c36047848674d3bfb0
non_derivable_fare_override	249921	b1f8b7728653e506ee41544021ffd693e82e85b09331aafbaa4cfad605e26338
non_standard_discount	326106	1e48c4c14a460069186bd4c5cec0dfdb2219d050b6fd7d32b9fc678c333ddb7f
package	45	8b9445d6c2bdf0c89623df2abb7a3195a645c1690b205f8ad64104f110ed2b66
package_supplement	58	1c7ee65fe2221cc89297a44a45199544181ece69d10d97fc63ef7f7b1c859357
permitted_route	246316	b6a61f801f1d7513ad33ed0effd3e3b6d56c634daf1b1c70f23dc3a411e5958c
physical_station	3298	bd72d5b64206593d3e3dd6141c31af0d6bbd5e29f61543e43dfff6c519d6b8bc
railcard	508	48e082f86106f815966df7a7ec0c5a8cc060fb6f27c35c44d7bd464a360a471d
railcard_minimum_fare	3806	1665af8d20966489100d91a07dda6dbce1eb08c58c05dbcbed2707b497a58325
restriction_date	2	404f7474a689cbfd51aca3db86c1fa7a4bf4a37cb8a14fb43cfc161e2f2f07f0
