table	rows	sha256
additional_fixed_link	39	6f76e1e790bb9d2dbc5cb080c384b731191fe7457cff64a7aa84b141f7bdcf75
alias	0	79463f38b09439dd8c28e28be19a5bfc39bcd265ecefc6c36047848674d3bfb0
association	56	27edbaab21ae4c8bc17007aadf65c4a208fc6d7647e76b8c3100f4c70e491e0c
fixed_link	21	5d49ab425c67a54633eb28a37e07aebf24f412221057f3585b3cf0d7e3736ee5
log	2	8c7b7560b1d861ca98fe7e24a45f2c6b042ef0718406c01add3cd5a23b1cebd7
physical_station	204	ce9692741973249cc86139e7b86f6a9d9f0fdb0a2a8350cba024500ac2981e1f
schedule	134	ceed53693123a0b7b8a19d668b5453d43c5501eb2b59476653d55bc122c2c73e
schedule_extra	124	6dc4073c2b1bd09d223c67fa1acfe5cdea0636b8a0c25c6140ba1631cc371e2e
service_change	38	d5225b95eb05736690ac099b15f73a1795c02eb0c139f30f61e213c968c18d72
stop_time	6599	b67da7a5e9adaae35e586e39e4b4cb6adab361bca14dc0aa35fea3147b8807cb
tiploc	385	2b0afed7603eb095afdc4117989437cfd288511a1e263e702a51be2e22a5ea67
toc_interchange	0	79463f38b09439dd8c28e28be19a5bfc39bcd265ecefc6c36047848674d3bfb0
z_schedule	46	193379df8ca51720c3fae7bbbe5debf335a4941752622d7fe499ec924ecd58c9
z_schedule_extra	46	b57882b2471106b05274b850597d8924189d195e08546521826605264e24e886
z_stop_time	211	3199939431232c9da45c23808eeea06d4f8e67d49b94b5c3b89367d3c95a3cc6
