stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ABA,ABDARE,ABERDARE,ABERDARE,,,,,,,Europe/London,0
AUR,ABDO,ABERDOUR,ABERDOUR,,,,,,,Europe/London,0
AVY,ABDVY,ABERDOVEY,ABERDOVEY,,,,,,,Europe/London,0
ABE,ABER,ABER,ABER,,,,,,,Europe/London,0
AGL,ABGLELE,ABERGELE & PENSN,ABERGELE & PENSN,,,,,,,Europe/London,0
ACY,ABRCYNS,ABERCYNON,ABERCYNON,,,,,,,Europe/London,0
ABD,ABRDEEN,ABERDEEN,ABERDEEN,,,,,,,Europe/London,0
ABH,ABRE,ABERERCH,ABERERCH,,,,,,,Europe/London,0
AGV,ABRGVNY,ABERGAVENNY,ABERGAVENNY,,,,,,,Europe/London,0
AYW,ABRYSTH,ABERYSTWYTH,ABERYSTWYTH,,,,,,,Europe/London,0
ABW,ABWD,ABBEY WOOD,ABBEY WOOD,,,,,,,Europe/London,0
ABX,ABWDXR,ABBEY WOOD,ABBEY WOOD,,,,,,,Europe/London,0
ACB,ACBG,ACTON BRIDGE,ACTON BRIDGE,,,,,,,Europe/London,0
AAT,ACHANLT,ACHANALT,ACHANALT,,,,,,,Europe/London,0
ACH,ACHHSHL,ACHNASHELLACH,ACHNASHELLACH,,,,,,,Europe/London,0
AUK,ACHILCK,AUCHINLECK,AUCHINLECK,,,,,,,Europe/London,0
ACN,ACHNSHN,ACHNASHEEN,ACHNASHEEN,,,,,,,Europe/London,0
ACK,ACKLNGT,ACKLINGTON,ACKLINGTON,,,,,,,Europe/London,0
ACL,ACLE,ACLE,ACLE,,,,,,,Europe/London,0
ACG,ACOCKSG,ACOCKS GREEN,ACOCKS GREEN,,,,,,,Europe/London,0
ACR,ACRNGTN,ACCRINGTON,ACCRINGTON,,,,,,,Europe/London,0
ACC,ACTNCTL,ACTON CENTRAL,ACTON CENTRAL,,,,,,,Europe/London,0
AML,ACTONML,ACTON MAIN LINE,ACTON MAIN LINE,,,,,,,Europe/London,0
ADD,ADERLYP,ADDERLEY PARK,ADDERLEY PARK,,,,,,,Europe/London,0
ADW,ADIEWEL,ADDIEWELL,ADDIEWELL,,,,,,,Europe/London,0
ADM,ADISHAM,ADISHAM,ADISHAM,,,,,,,Europe/London,0
ADC,ADLC,ADLINGTON CHES,ADLINGTON CHES,,,,,,,Europe/London,0
ASN,ADLESTN,ADDLESTONE,ADDLESTONE,,,,,,,Europe/London,0
ADL,ADNL,ADLINGTON LANCS,ADLINGTON LANCS,,,,,,,Europe/London,0
AWK,ADWICK,ADWICK,ADWICK,,,,,,,Europe/London,0
AUG,AGHTNPH,AUGHTON PARK,AUGHTON PARK,,,,,,,Europe/London,0
AIG,AIGBURT,AIGBURTH,AIGBURTH,,,,,,,Europe/London,0
ANS,AINSDAL,AINSDALE,AINSDALE,,,,,,,Europe/London,0
AIN,AINTREE,AINTREE,AINTREE,,,,,,,Europe/London,0
AIR,AIRBLES,AIRBLES,AIRBLES,,,,,,,Europe/London,0
ADR,AIRDRIE,AIRDRIE,AIRDRIE,,,,,,,Europe/London,0
