from_stop_id,to_stop_id,transfer_type,duration
5/0,5/0,2,3360
ABW,ABW,2,240
ABE,ABE,2,300
ACY,ACY,2,300
ABA,ABA,2,180
ABD,ABD,2,300
AUR,AUR,2,300
AVY,AVY,2,300
ABH,ABH,2,300
AGV,AGV,2,300
AGL,AGL,2,300
AYW,AYW,2,300
ACR,ACR,2,300
AAT,AAT,2,300
ACN,ACN,2,300
ACH,ACH,2,300
ACK,ACK,2,300
ACL,ACL,2,300
ACG,ACG,2,300
ACB,ACB,2,300
ACC,ACC,2,300
AML,AML,2,300
ADD,ADD,2,300
ADW,ADW,2,300
ASN,ASN,2,360
ADM,ADM,2,240
ADC,ADC,2,300
ADL,ADL,2,300
AIG,AIG,2,300
ANS,ANS,2,300
AIN,AIN,2,300
AIR,AIR,2,300
ADR,ADR,2,300
AYP,AYP,2,240
ALB,ALB,2,300
ALD,ALD,2,300
AMT,AMT,2,300
AHT,AHT,2,240
AGT,AGT,2,300
AAP,AAP,2,300
AXP,AXP,2,300
ALX,ALX,2,300
ALF,ALF,2,300
ALW,ALW,2,300
ASS,ASS,2,300
ALM,ALM,2,300
ALR,ALR,2,300
ASG,ASG,2,300
ALN,ALN,2,300
ALP,ALP,2,300
ABC,ABC,2,300
AON,AON,2,300
ALT,ALT,2,300
ALV,ALV,2,300
AMB,AMB,2,300
AMY,AMY,2,240
AMR,AMR,2,60
AMF,AMF,2,300
ANC,ANC,2,300
AND,AND,2,300
ADV,ADV,2,360
ANZ,ANZ,2,300
AGR,AGR,2,300
ANG,ANG,2,180
ANN,ANN,2,300
ANL,ANL,2,300
AFV,AFV,2,300
APP,APP,2,300
APD,APD,2,240
APF,APF,2,300
APB,APB,2,300
APS,APS,2,300
ARB,ARB,2,300
ARD,ARD,2,300
AUI,AUI,2,300
ADS,ADS,2,300
ASB,ASB,2,300
ADN,ADN,2,300
ADK,ADK,2,300
AGS,AGS,2,300
ARG,ARG,2,300
ARL,ARL,2,300
ARA,ARA,2,300
AWT,AWT,2,300
ARN,ARN,2,300
ARR,ARR,2,300
ART,ART,2,300
ARU,ARU,2,240
ACT,ACT,2,180
AUW,AUW,2,300
ASH,ASH,2,300
AHV,AHV,2,300
ABY,ABY,2,300
AFK,AFK,2,300
AFS,AFS,2,360
ASY,ASY,2,300
AHD,AHD,2,240
AHN,AHN,2,300
AHS,AHS,2,240
AWM,AWM,2,300
ASK,ASK,2,300
ALK,ALK,2,300
ASP,ASP,2,300
APG,APG,2,300
AST,AST,2,300
ATH,ATH,2,300
ATN,ATN,2,300
ATT,ATT,2,300
ATB,ATB,2,300
ATL,ATL,2,300
AUK,AUK,2,300
AUD,AUD,2,300
AUG,AUG,2,300
AVM,AVM,2,300
AVF,AVF,2,300
AVN,AVN,2,120
AXM,AXM,2,300
AYS,AYS,2,300
AYL,AYL,2,240
AYH,AYH,2,240
AYR,AYR,2,300
BAC,BAC,2,300
BAG,BAG,2,360
BLD,BLD,2,300
ZBS,ZBS,2,300
BAB,BAB,2,240
BDK,BDK,2,300
BAL,BAL,2,240
BHC,BHC,2,300
BSI,BSI,2,300
BMB,BMB,2,300
BAM,BAM,2,300
BNV,BNV,2,300
BAN,BAN,2,300
BNG,BNG,2,300
BAH,BAH,2,300
BAD,BAD,2,240
BSS,BSS,2,300
BLL,BLL,2,300
BAR,BAR,2,300
BGD,BGD,2,180
BKG,BKG,2,300
BRT,BRT,2,300
BMG,BMG,2,240
BRM,BRM,2,300
BNH,BNH,2,60
BNS,BNS,2,300
BNI,BNI,2,360
BTB,BTB,2,300
BAA,BAA,2,300
BNL,BNL,2,300
BNY,BNY,2,300
BNP,BNP,2,300
BTG,BTG,2,300
BRR,BRR,2,300
BRL,BRL,2,300
BAV,BAV,2,300
BIF,BIF,2,300
BRY,BRY,2,180
BYD,BYD,2,300
BYI,BYI,2,300
BYL,BYL,2,300
BAU,BAU,2,300
BSO,BSO,2,300
BSK,BSK,2,300
BBL,BBL,2,240
BTH,BTH,2,420
BHG,BHG,2,300
BTL,BTL,2,300
BTT,BTT,2,300
BAK,BAK,2,240
BAT,BAT,2,240
BLB,BLB,2,300
BAY,BAY,2,300
BCF,BCF,2,180
BER,BER,2,300
BRN,BRN,2,300
BSD,BSD,2,240
BSL,BSL,2,300
BEU,BEU,2,360
BEB,BEB,2,300
BCC,BCC,2,300
BEC,BEC,2,240
BKJ,BKJ,2,240
BDM,BDM,2,420
BSJ,BSJ,2,300
BDH,BDH,2,360
BMT,BMT,2,300
BEH,BEH,2,300
BDW,BDW,2,300
BEE,BEE,2,300
BKS,BKS,2,240
BLV,BLV,2,300
BLG,BLG,2,300
BGM,BGM,2,240
BLH,BLH,2,300
BLM,BLM,2,240
BLP,BLP,2,300
BEG,BEG,2,240
BVD,BVD,2,240
BEM,BEM,2,300
BEY,BEY,2,300
BEF,BEF,2,300
BEN,BEN,2,300
BTY,BTY,2,360
BAS,BAS,2,300
BFE,BFE,2,300
BKM,BKM,2,300
BKW,BKW,2,300
BYA,BYA,2,300
BBW,BBW,2,300
BRS,BRS,2,360
BRK,BRK,2,240
BWK,BWK,2,300
BES,BES,2,300
BSC,BSC,2,300
BTO,BTO,2,300
BET,BET,2,300
BYC,BYC,2,300
BEV,BEV,2,300
